,NOC,score,gen_ave,"Adjusted net enrollment rate, primary, female (% of primary school age children",Adolescent fertility rate (Adjusted),"Fertility rate, total (Adjusted)","Labor force, female (% of total labor force)","Literacy rate, adult female (% of females ages 15 and above)","Life expectancy at birth, female (years)","Expected years of schooling, female","Primary education, pupils (% female)"
235,KOR_1998,10.4210526,66.41584,99.54055,99.72212,85.52,39.35811,NA,79,14.4225,47.3476
236,KOR_2000,22.9913793,66.67521,99.89684,99.75156,85.33,40.37333,NA,79.7,14.678,46.9967
237,KOR_2002,14.7118644,66.97576,98.04563,99.781,88.34,40.65789,NA,80.3,14.78959,46.91623
238,KOR_2004,62.5123153,67.24475,98.30474,99.78864,88.46,40.69398,NA,81.2,15.18957,47.07631
239,KOR_2006,20.7272727,67.74604,99.46004,99.79628,88.77,41.13979,NA,82.1,15.558,47.39819
240,KOR_2008,40.1394231,67.91739,99.80718,99.80476,88.08,41.14502,NA,83,15.87931,47.70546
241,KOR_2010,10.7142857,67.8877,99.3711,99.81408,87.74,40.96378,NA,83.6,16.00649,47.71846
242,KOR_2012,39.4090909,67.67826,97.8398,99.8234,87.03,41.10993,NA,84.2,15.89769,47.84701
243,KOR_2014,30.5526316,67.61864,95.12135,99.82832,87.95,41.49732,NA,85,15.86574,48.06778
244,KOR_2016,34.1793103,78.80235,NA,99.83324,88.28,41.89616,NA,85.2,NA,NA
245,LTU_2000,5.106383,67.47704,98.04398,97.46466,86.1,49.4742,NA,77.5,15.07208,48.68435
246,LTU_2004,0.8181818,66.89062,90.76874,97.97882,87.3,49.00797,NA,77.8,16.82114,48.55771
247,LTU_2008,2.2,67.90883,98.9299,98.20184,85.5,49.49859,NA,77.6,17.57041,48.06107
248,LTU_2012,7.1428571,68.04617,98.03954,98.5772,84,50.61538,NA,79.6,16.92162,48.56943
249,LTU_2016,0.6666667,68.20574,99.87896,98.8608,83,50.59523,NA,79.7,16.56633,48.83886
250,MAR_2000,0.1956522,55.52404,71.84968,96.47572,72.23,25.3966,NA,70.221,7.68925,44.80602
251,MAR_2004,0.5625,56.07546,83.64729,96.49828,73.87,26.90372,39.61956,72.339,9.25004,46.47576
252,MAR_2008,0.3243243,57.52156,88.81612,96.65152,74.37,26.54466,42.58785,74.524,9.98933,46.68899
253,MDA_2012,0.6666667,69.79132,90.45556,97.4348,87.31,49.0072,98.92425,74.749,12.06639,48.38336
254,MEX_2000,2.65625,65.4378,99.85583,92.1124,72.84,32.83738,88.68204,76.768,11.68087,48.72589
255,MEX_2004,6.7,66.13483,99.19736,92.6198,74.64,34.06445,89.63102,77.615,12.4897,48.8213
256,MEX_2008,6.8653846,66.50424,96.32286,93.057,76.09,35.25401,91.45361,78.215,12.84343,48.798
257,MEX_2012,7.2972973,67.63195,99.90296,93.403,77.05,36.41817,93.17924,78.849,13.3396,48.91364
258,MEX_2016,4.0481928,64.45648,99.87712,93.85948,78.16,36.38697,NA,79.538,14.40022,48.97359
259,MNE_2012,33.1578947,74.89831,96.93397,98.667,82.75,44.37247,NA,78.426,NA,48.24045
260,MOZ_1996,0.5,56.41809,NA,81.11226,40.81,55.9051,NA,47.845,NA,NA
261,MOZ_2000,5,53.51424,49.84509,81.19556,41.82,55.1773,NA,50.031,NA,43.01649
262,NOR_1992,32.5714286,66.93864,99.70465,98.4252,81.2,45.3321,NA,80.36,14.79321,48.75533
263,NOR_1994,9.0810811,67.09305,98.4674,98.5424,81.3,45.64356,NA,80.64,16.27307,48.78489
264,NOR_1996,19.5185185,67.15522,98.30724,98.6596,81.1,46.27282,NA,81.07,15.92709,48.74981
265,NOR_1998,15.6781609,67.7838,99.8318,98.77502,81.9,46.58242,NA,81.3,17.31505,48.78228
266,NOR_2000,98.2622951,67.87594,99.83655,98.88866,81.5,46.5827,NA,81.4,18.18126,48.74239
267,NOR_2002,19.8545455,68.10781,99.85673,99.0023,82.5,47.29912,NA,81.6,17.80577,48.69075
268,NOR_2004,4.2857143,68.12207,99.4396,99.04486,81.7,47.31277,NA,82.3,18.38152,48.67571
269,NOR_2006,4.2666667,67.99211,98.9296,99.08742,81,47.1181,NA,82.7,18.30429,48.80539
270,NOR_2008,105.6511628,68.02697,99.39742,99.16618,80.4,47.38594,NA,83,18.07337,48.7659
271,NOR_2010,17.1111111,68.09236,99.23571,99.28114,80.5,47.3069,NA,83.2,18.25473,48.86806
272,NOR_2012,60.5405405,68.39207,99.90127,99.3961,81.5,47.26726,NA,83.5,18.17984,49
273,NOR_2014,28.1971831,68.63617,99.78686,99.41398,82.5,47.31968,NA,84.2,18.3166,48.9161
274,NOR_2016,12.95,68.65141,99.691,99.43186,82.8,47.07519,NA,84.2,18.55309,48.8087
275,NZL_1992,6.4852941,65.63368,97.34669,96.6602,78.8,43.55402,NA,79.3,15.29997,48.47488
276,NZL_1996,3.75,66.62789,98.88263,96.94308,80.4,44.57741,NA,79.4,17.50813,48.68399
277,NZL_2000,0.9032258,75.2778,99.20624,97.20226,80.2,45.19966,NA,81.3,NA,48.55863
278,NZL_2004,12.0588235,75.26213,98.0254,97.1927,80.2,45.97196,NA,81.7,NA,48.4827
279,NZL_2008,11.9196429,75.41451,99.49549,97.13334,78.1,46.59843,NA,82.4,NA,48.75977
280,NZL_2012,23.0727273,67.74159,98.57871,97.7071,79,47.02664,NA,83,19.96902,48.90965
